driver_id,event_type,event_time
d1,CM,2015-08-07T18:53:22Z
d1,HB,2015-05-14T13:46:18Z
d1,HB,2015-05-14T14:12:15Z
d1,HB,2015-05-15T14:07:26Z
d1,HB,2015-05-18T09:41:43Z
d1,HB,2015-05-18T17:51:27Z
d1,HB,2015-05-19T10:13:50Z
d1,HB,2015-07-29T18:48:26Z
d1,HW,2015-08-07T07:55:26Z
d1,HW,2015-08-07T08:11:17Z
d1,HW,2015-08-07T08:19:17Z
d1,HW,2015-08-07T09:32:34Z
d1,HW,2015-08-07T09:36:35Z
d1,HW,2015-08-07T09:53:59Z
d1,HW,2015-08-07T13:40:05Z
d1,HW,2015-08-07T16:02:04Z
d1,HW,2015-08-10T11:13:24Z
d1,HW,2015-08-11T12:31:33Z
d1,HW,2015-08-11T14:36:32Z
d1,HW,2015-08-11T15:19:41Z
d1,HW,2015-08-11T15:27:24Z
d1,HW,2015-08-14T12:54:25Z
d1,HW,2015-08-14T13:01:24Z
d10,HB,2015-05-08T15:38:53Z
d10,HB,2015-05-22T10:50:28Z
d10,HB,2015-05-26T14:37:48Z
d10,HB,2015-05-27T10:56:29Z
d10,HB,2015-05-28T09:02:04Z
d10,HB,2015-05-30T09:00:35Z
d10,HB,2015-06-06T10:12:54Z
d10,HB,2015-06-17T17:06:48Z
d10,HB,2015-06-19T18:07:30Z
d10,HB,2015-06-23T11:42:24Z
d10,HB,2015-06-25T17:26:54Z
d10,HB,2015-06-26T13:18:58Z
d11,HB,2015-05-22T19:33:57Z
d11,HB,2015-06-13T07:57:39Z
d11,HB,2015-06-20T19:59:18Z
d11,HB,2015-06-27T10:25:54Z
d12,,
d13,RS,2015-04-29T16:08:17Z
d14,CM,2015-07-01T13:05:22Z
d14,CM,2015-07-17T07:13:57Z
d14,HB,2015-06-02T16:10:59Z
d14,HB,2015-06-02T16:26:17Z
d14,HB,2015-06-30T14:29:38Z
d14,HB,2015-06-30T14:30:38Z
d15,HB,2015-12-05T14:48:38Z
d15,HB,2015-12-06T10:19:35Z
d15,HB,2015-12-06T10:22:38Z
d15,HB,2015-12-06T10:36:54Z
d15,HB,2015-12-10T11:52:30Z
d15,HB,2015-12-15T15:14:40Z
d15,HB,2015-12-16T08:52:52Z
d15,HB,2015-12-18T14:14:13Z
d15,HB,2015-12-22T07:17:41Z
d15,HB,2015-12-28T14:24:40Z
d15,HB,2015-12-29T12:14:46Z
d15,HB,2016-01-07T15:03:13Z
d15,HB,2016-01-08T07:04:15Z
d15,HB,2016-01-08T14:10:28Z
d15,HW,2015-08-24T10:32:09Z
d16,HB,2015-07-27T11:40:07Z
d16,HW,2016-03-02T13:39:25Z
d16,HW,2016-03-02T15:35:45Z
d16,HW,2016-03-02T17:34:44Z
d16,HW,2016-03-03T11:31:51Z
d16,HW,2016-03-03T17:39:45Z
d16,HW,2016-03-07T15:18:57Z
d16,HW,2016-03-15T18:37:37Z
d17,,
d18,CM,2015-08-19T16:37:22Z
d18,HW,2015-10-02T11:12:20Z
d19,CM,2015-05-30T07:00:34Z
d19,HB,2015-06-09T03:56:18Z
d19,HB,2015-06-15T16:30:16Z
d2,HB,2016-03-04T12:25:24Z
d20,HW,2015-05-21T17:45:38Z
d20,HW,2015-05-28T12:52:21Z
d20,HW,2015-06-07T12:27:32Z
d21,CM,2016-03-06T12:19:24Z
d21,HW,2016-02-09T14:04:24Z
d21,HW,2016-02-10T09:11:11Z
d21,HW,2016-02-10T15:29:53Z
d21,HW,2016-02-11T06:44:53Z
d21,HW,2016-02-16T09:00:03Z
d21,HW,2016-02-18T12:16:51Z
d21,HW,2016-02-22T14:10:03Z
d21,HW,2016-02-28T18:45:36Z
d21,HW,2016-02-28T19:43:09Z
d3,,
d4,HB,2015-04-02T14:07:52Z
d4,HB,2015-04-03T07:35:52Z
d4,HB,2015-04-08T07:30:52Z
d4,HB,2015-04-08T08:05:54Z
d4,HB,2015-04-14T06:44:18Z
d4,HB,2015-04-17T15:03:02Z
d4,HB,2015-04-22T10:21:41Z
d4,HB,2015-04-23T08:58:15Z
d4,HB,2015-04-23T10:45:49Z
d4,HB,2015-04-23T15:44:00Z
d4,HB,2015-04-25T14:53:29Z
d4,HB,2015-04-28T10:25:23Z
d4,HB,2015-04-29T07:47:39Z
d4,HB,2015-04-30T12:25:14Z
d4,HB,2015-05-01T05:25:29Z
d4,HB,2015-05-01T06:35:37Z
d4,HB,2015-05-01T15:31:15Z
d4,HB,2015-05-01T17:54:39Z
d4,HB,2015-05-01T18:03:55Z
d4,HB,2015-05-01T18:09:27Z
d4,HB,2015-05-02T06:52:44Z
d4,HB,2015-05-02T08:34:03Z
d4,HB,2015-05-02T10:51:57Z
d4,HB,2015-05-02T12:28:09Z
d4,HB,2015-05-02T14:34:25Z
d4,HB,2015-05-02T15:56:30Z
d4,HB,2015-05-03T05:47:23Z
d4,HB,2015-05-03T08:34:21Z
d4,HB,2015-05-03T08:35:37Z
d4,HB,2015-05-06T08:40:58Z
d4,HB,2015-05-06T09:28:05Z
d4,HB,2015-05-06T09:31:41Z
d4,HB,2015-05-06T10:48:35Z
d4,HB,2015-05-06T10:52:00Z
d4,HB,2015-05-07T10:40:12Z
d4,HB,2015-05-07T12:42:42Z
d4,HB,2015-05-07T13:05:24Z
d4,HB,2015-05-07T13:31:57Z
d4,HB,2015-05-07T15:20:51Z
d4,HB,2015-05-07T15:30:41Z
d4,HB,2015-05-08T13:57:43Z
d4,HB,2015-05-08T20:38:45Z
d4,HB,2015-05-09T10:47:53Z
d4,HB,2015-05-09T11:25:04Z
d4,HB,2015-05-09T11:33:30Z
d4,HB,2015-05-09T17:28:21Z
d4,HB,2015-05-12T09:55:00Z
d4,HB,2015-05-12T12:29:42Z
d4,HB,2015-05-12T12:32:11Z
d4,HB,2015-05-12T16:51:47Z
d4,HB,2015-05-12T17:06:58Z
d4,HB,2015-05-12T18:27:41Z
d4,HB,2015-05-12T18:31:51Z
d4,HB,2015-05-12T19:45:42Z
d4,HB,2015-05-13T07:09:21Z
d4,HB,2015-05-13T11:08:28Z
d4,HB,2015-05-13T11:10:21Z
d4,HB,2015-05-13T11:55:19Z
d4,HB,2015-05-13T13:59:17Z
d4,HB,2015-05-13T16:18:00Z
d4,HB,2015-05-14T06:32:05Z
d4,HB,2015-05-14T06:44:25Z
d4,HB,2015-05-14T07:58:49Z
d4,HB,2015-05-14T09:34:39Z
d4,HB,2015-05-14T15:49:26Z
d4,HB,2015-05-14T18:10:41Z
d4,HB,2015-05-15T05:45:17Z
d4,HB,2015-05-15T12:13:29Z
d4,HB,2015-05-15T12:35:37Z
d4,HB,2015-05-15T14:21:22Z
d4,HB,2015-05-15T14:27:54Z
d4,HB,2015-05-15T17:08:35Z
d4,HB,2015-05-16T08:39:07Z
d4,HB,2015-05-16T09:11:19Z
d4,HB,2015-05-17T13:45:58Z
d4,HB,2015-05-17T13:52:19Z
d5,HW,2016-02-03T12:46:22Z
d5,HW,2016-02-03T14:04:52Z
d5,HW,2016-02-05T14:26:50Z
d5,HW,2016-02-09T11:34:19Z
d5,HW,2016-02-09T11:58:31Z
d5,HW,2016-02-10T14:20:51Z
d5,HW,2016-02-10T14:37:46Z
d5,HW,2016-02-11T13:36:38Z
d5,HW,2016-02-18T18:19:58Z
d5,HW,2016-02-22T09:56:56Z
d5,HW,2016-02-26T10:12:55Z
d6,CM,2015-05-04T10:55:53Z
d6,CM,2015-05-05T16:44:54Z
d7,HB,2015-06-08T18:52:22Z
d7,HB,2015-06-16T18:29:14Z
d7,HB,2015-06-16T19:53:52Z
d7,HB,2015-06-18T18:52:09Z
d7,HB,2015-06-23T12:46:31Z
d7,HB,2015-07-05T19:24:58Z
d8,CM,2016-03-16T16:57:43Z
d8,HB,2016-01-07T12:28:22Z
d8,HB,2016-01-30T17:52:23Z
d8,HB,2016-03-13T13:50:51Z
d8,HB,2016-03-17T15:47:08Z
d8,HW,2016-03-10T05:18:24Z
d9,HB,2016-02-11T10:10:30Z
d9,HB,2016-02-11T10:25:17Z
d9,HB,2016-02-12T10:18:57Z
d9,HB,2016-02-18T20:28:11Z
d9,HB,2016-02-18T20:28:52Z
d9,HB,2016-02-18T20:44:25Z
d9,HW,2016-02-10T11:46:40Z
d9,HW,2016-02-20T06:31:02Z
d9,HW,2016-02-23T09:35:52Z
d9,HW,2016-03-05T16:45:59Z
